Date,High,low,Close,No.of Trades,Turn over
30-09-14,90.30,89.10,90.00,43,"6,826,802.90"
01-10-14,92.80,89.90,92.10,99,"26,757,351.30"
02-10-14,94.90,91.60,94.10,100,"14,664,620.60"
03-10-14,96.00,94.50,95.50,174,"32,785,011.40"
07-10-14,98.00,95.30,97.50,131,"22,548,974.50"
09-10-14,97.40,96.00,96.00,36,"976,751.90"
10-10-14,96.90,92.00,93.70,57,"11,462,766.50"
13-10-14,94.70,88.00,88.30,135,"13,075,737.70"
14-10-14,90.50,88.00,90.00,104,"41,030,377.50"
15-10-14,93.00,90.90,92.20,72,"6,001,658.60"
16-10-14,93.00,90.00,90.40,45,"15,967,144.50"
17-10-14,90.00,89.50,89.50,27,"2,526,822.00"
20-10-14,89.90,89.10,89.60,33,"14,883,418.50"
21-10-14,90.00,88.50,88.60,22,"6,565,013.00"
23-10-14,90.00,88.50,89.10,42,"16,205,653.50"
24-10-14,90.50,90.00,90.00,25,"4,662,379.60"
27-10-14,90.00,88.90,90.00,13,"2,103,380.00"
28-10-14,89.00,89.00,89.00,17,"3,483,816.00"
29-10-14,90.00,90.00,90.00,15,"2,682,630.00"
30-10-14,90.50,90.00,90.00,24,"1,850,629.50"
31-10-14,94.40,90.40,93.90,73,"2,177,873,634.60"
03-11-14,95.90,94.00,95.70,96,"318,258,527.70"
04-11-14,96.00,90.60,93.50,24,"946,332.10"
05-11-14,95.00,92.10,94.80,37,"4,619,463.40"
07-11-14,96.00,93.00,95.80,77,"30,788,754.00"
10-11-14,95.70,95.00,95.50,58,"11,789,747.40"
11-11-14,97.00,95.00,95.90,54,"12,082,193.00"
12-11-14,96.50,96.00,96.10,45,"4,956,762.60"
13-11-14,98.00,96.10,97.20,103,"32,462,290.20"
14-11-14,98.60,97.00,98.30,62,"9,200,385.40"
17-11-14,101.90,98.50,100.20,166,"56,324,469.00"
18-11-14,100.00,99.50,99.90,44,"5,829,970.80"
19-11-14,100.00,98.00,99.10,61,"5,956,336.80"
20-11-14,99.00,98.00,99.00,33,"39,201,110.00"
21-11-14,99.00,93.00,95.80,91,"38,960,652.70"
24-11-14,95.40,88.90,95.00,152,"25,858,037.60"
25-11-14,96.00,95.00,95.30,45,"14,362,479.80"
26-11-14,95.20,93.00,94.90,59,"37,938,198.00"
27-11-14,92.00,90.60,91.00,59,"11,092,885.50"
28-11-14,91.80,91.00,91.40,41,"4,781,766.50"
01-12-14,95.50,91.30,94.40,72,"22,592,044.00"
02-12-14,95.00,94.40,95.00,46,"26,316,956.80"
03-12-14,95.10,95.00,95.10,12,"1,833,501.00"
04-12-14,96.00,95.00,95.00,60,"40,738,062.30"
05-12-14,95.00,94.00,94.60,15,"180,475.50"
08-12-14,95.00,93.50,94.00,15,"1,314,174.00"
09-12-14,95.60,93.50,95.00,26,"11,072,951.10"
10-12-14,94.50,93.00,94.10,5,"107,539.00"
11-12-14,95.00,94.00,95.00,17,"2,270,353.00"
12-12-14,95.90,95.00,95.50,17,"936,993.00"
15-12-14,95.00,94.50,95.00,11,"1,150,705.00"
16-12-14,95.00,94.50,94.80,7,"380,450.00"
17-12-14,95.00,91.50,95.00,18,"7,196,235.00"
18-12-14,94.00,92.00,92.10,8,"488,291.50"
19-12-14,95.50,94.00,95.30,19,"1,602,478.00"
22-12-14,96.00,95.20,96.00,12,"1,348,413.00"
23-12-14,96.50,95.50,95.70,22,"2,627,502.10"
24-12-14,96.50,95.70,96.40,11,"994,115.80"
26-12-14,97.00,95.00,97.00,19,"3,216,107.50"
29-12-14,97.00,96.50,96.50,11,"835,871.00"
30-12-14,97.50,97.00,97.50,21,"751,725.00"
31-12-14,97.00,96.50,97.00,19,"3,434,529.00"
02-01-15,100.00,97.00,100.00,58,"5,507,030.30"
06-01-15,105.10,100.00,104.80,132,"18,636,418.70"
07-01-15,106.00,105.00,105.90,132,"22,193,161.50"
08-01-15,110.00,106.00,109.00,93,"18,984,282.00"
09-01-15,114.00,110.00,112.60,72,"11,437,363.70"
12-01-15,115.60,112.50,113.10,118,"22,432,759.20"
13-01-15,114.00,111.50,113.80,55,"8,853,969.00"
16-01-15,114.10,112.50,113.30,34,"5,286,667.00"
19-01-15,113.00,103.00,104.90,45,"1,845,700.40"
20-01-15,105.50,104.00,105.30,36,"5,585,545.50"
21-01-15,105.30,103.00,104.30,44,"199,484,346.00"
22-01-15,108.80,102.00,105.00,57,"34,438,653.00"
23-01-15,105.00,104.10,104.50,5,"397,320.00"
26-01-15,105.00,102.00,104.00,13,"347,007.50"
27-01-15,107.00,105.00,105.10,14,"3,852,985.00"
28-01-15,106.00,105.00,105.60,14,"8,445,087.60"
29-01-15,107.00,106.00,106.00,6,"252,227.00"
30-01-15,105.00,100.00,103.00,121,"46,562,766.80"
02-02-15,104.90,100.00,101.20,68,"11,531,333.70"
05-02-15,102.00,99.10,100.00,27,"2,185,705.00"
06-02-15,104.30,101.00,104.30,47,"26,092,518.30"
09-02-15,105.00,104.00,104.50,65,"11,238,253.90"
10-02-15,107.00,103.80,106.40,42,"2,691,155.40"
11-02-15,109.50,105.60,109.00,60,"7,756,898.80"
12-02-15,110.00,108.00,109.70,61,"4,993,360.40"
13-02-15,109.50,107.90,109.50,22,"3,324,504.50"
16-02-15,109.50,105.50,106.60,9,"3,660,183.50"
18-02-15,107.00,106.50,106.70,12,"389,673.00"
19-02-15,109.00,106.00,107.90,24,"3,831,451.00"
20-02-15,109.00,107.50,108.00,22,"4,436,764.00"
23-02-15,108.00,107.00,108.00,35,"1,935,970.50"
24-02-15,109.00,108.00,108.00,24,"1,201,043.50"
25-02-15,108.00,107.00,108.00,20,"943,154.00"
26-02-15,108.50,108.00,108.20,10,"576,209.00"
